report_id,DESCRIPTION,OFFENSE_DATE,LOCATION
S87066666,VERBAL DISPUTE,2009-04-07 19:30:00,THORNTON PLACE
225520077,INVESTIGATE PERSON,2009-02-02 00:00:00,WASHINGTON ST
222934485,M/V - LEAVING SCENE - PROPERTY DAMAGE,2009-05-14 20:50:00,BLUE HILL AVE
222924960,VERBAL DISPUTE,2009-04-09 16:30:00,GIBSON ST
222648862,M/V - LEAVING SCENE - PROPERTY DAMAGE,2009-02-05 18:25:00,WASHINGTON ST
222587590,M/V - LEAVING SCENE - PROPERTY DAMAGE,2009-06-24 18:30:00,HOLWORTHY ST
22254129,FUGITIVE FROM JUSTICE,2009-07-19 18:45:00,CASPIAN WAY
222449806,M/V - LEAVING SCENE - PROPERTY DAMAGE,2009-06-14 14:40:00,"LAWRENCE AVE & MASCOMA ST
DORCHESTER  MA 02121
UNI"
222409259,FRAUD - CREDIT CARD / ATM FRAUD,2009-03-01 00:00:00,WHITE ST
222252512,LARCENY ALL OTHERS,2009-05-31 10:10:00,WASHINGTON ST
222241492,PROPERTY - LOST/ MISSING,2009-06-01 21:00:00,WOODCLIFF STREET
222201764,AUTO THEFT,2009-01-09 00:00:00,W BROADWAY
222201559,ROBBERY,2009-03-05 13:00:00,ALBANY ST
222111641,LARCENY ALL OTHERS,2009-02-14 12:30:00,WASHINGTON ST
222107076,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),2009-03-11 10:45:00,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI"
222094667,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2009-06-24 00:00:00,COLUMBUS AVE
22209348,ASSAULT - SIMPLE,2009-02-08 22:37:00,DORCHESTER AVE
222073971,LARCENY PICK-POCKET,2009-02-27 10:07:00,NEW SUDBURY ST
222072974,LARCENY ALL OTHERS,2009-01-14 15:20:00,ALLSTATE ROAD
222064149,M/V ACCIDENT - OTHER,2009-07-14 21:00:00,"HUMBOLDT AVE & WAUMBECK ST
BOSTON  MA 02121
UNITED"
222057578,VANDALISM,2009-07-08 00:00:00,GIBSON ST
222055138,PROPERTY - LOST/ MISSING,2009-01-23 13:15:00,WASHINGTON ST
222054835,SICK ASSIST - DRUG RELATED ILLNESS,2009-07-22 04:10:00,HARVARD ST
222054834,INVESTIGATE PROPERTY,2009-07-22 00:26:00,SOUTHERN AVE
222054829,INVESTIGATE PERSON,2009-07-22 02:51:00,MARGARETTA DR
222054823,TOWED MOTOR VEHICLE,2009-07-22 01:37:00,BELVIDERE ST
222054821,VANDALISM,2009-07-22 01:56:00,"MILK ST & PEARL ST
BOSTON  MA 02110
UNITED STATES"
222054818,SICK ASSIST,2009-07-21 23:51:00,"COMMONWEALTH AVE & FIDELIS WAY
BOSTON  MA 02135
UN"
222054813,ASSAULT - AGGRAVATED,2009-07-22 00:45:00,BOWDOIN ST
222054812,M/V ACCIDENT - OTHER,2009-07-21 23:46:00,"CAMBRIDGE ST & N BEACON ST
BRIGHTON  MA 02134
UNIT"
222054809,BALLISTICS EVIDENCE/FOUND,2009-07-22 00:56:00,ORLANDO ST
222054803,M/V ACCIDENT - PROPERTY DAMAGE,2009-07-21 22:59:00,BUSINESS ST
222054801,INVESTIGATE PERSON,2009-07-21 22:45:00,RADCLIFFE ST
222054800,SICK ASSIST,2009-07-21 22:47:00,CHAMBLET ST
222054797,INVESTIGATE PROPERTY,2009-07-21 21:06:00,COPELAND PARK
222054796,INVESTIGATE PERSON,2009-07-21 22:41:00,CENTRE ST
222054794,INVESTIGATE PERSON,2009-07-21 21:48:00,PURITAN AVE
222054793,SICK ASSIST - DRUG RELATED ILLNESS,2009-07-21 15:32:00,"MASSACHUSETTS AVE & POMPEII ST
ROXBURY  MA 02119
U"
222054792,VANDALISM,2009-07-21 23:05:00,ALLSTATE RD
222054791,INVESTIGATE PERSON,2009-07-21 22:12:00,NORTH POINT DR
222054790,ASSAULT - SIMPLE,2009-07-21 22:05:00,HARVARD AVE
222054789,INVESTIGATE PROPERTY,2009-07-21 22:24:00,"BOW ST & DANA AVE
HYDE PARK  MA 02136
UNITED STATE"
222054787,DEATH INVESTIGATION,2009-07-21 22:02:00,ORLANDO ST
222054785,M/V ACCIDENT - OTHER,2009-07-21 20:51:00,WILLIAM F MCCLELLAN HIGHWAY
222054784,INVESTIGATE PROPERTY,2009-07-21 21:04:00,"BENNINGTON ST & NEPTUNE RD
EAST BOSTON  MA 02128
U"
222054783,SICK ASSIST,2009-07-21 21:53:00,PRESCOTT ST
222054782,BALLISTICS EVIDENCE/FOUND,2009-07-21 10:06:00,PARKER ST
222054781,VANDALISM,2009-07-21 22:02:00,"CAMBRIDGE ST & NEW CHARDON ST
BOSTON  MA 02114
UNI"
222054780,DEATH INVESTIGATION,2009-07-21 20:52:00,WASHINGTON ST
222054777,SICK ASSIST,2009-07-21 21:40:00,MAVERICK ST
222054775,INVESTIGATE PERSON,2009-07-21 21:30:00,GREENVILLE ST
222054772,FRAUD - CREDIT CARD / ATM FRAUD,2009-07-21 00:00:00,HARRISON AVE
222054771,SICK ASSIST,2009-07-21 21:01:00,ALLEGHANY ST
222054770,INVESTIGATE PERSON,2009-07-21 20:41:00,N BEACON ST
222054769,INVESTIGATE PERSON,2009-07-21 21:30:00,W BROADWAY
222054768,MISSING PERSON,2009-07-21 21:30:00,ATHELWOLD ST
222054767,THREATS TO DO BODILY HARM,2009-07-21 21:26:00,BLUE HILL AVE
222054765,M/V ACCIDENT - OTHER,2009-07-21 19:25:00,GIBSON ST
222054762,AUTO THEFT,2009-07-21 20:37:00,"BLUE HILL AVE & QUINCY ST
ROXBURY  MA 02121
UNITED"
222054761,SICK ASSIST,2009-07-21 19:55:00,WOODWARD PARK ST
222054759,LARCENY ALL OTHERS,2009-07-21 20:27:00,BEACON ST
222054758,LIQUOR/ALCOHOL - DRINKING IN PUBLIC,2009-07-21 17:59:00,CHAUNCY ST
222054757,M/V ACCIDENT - INVOLVING BICYCLE - INJURY,2009-07-21 20:44:00,"HAMPDEN ST & NORFOLK AVE
ROXBURY  MA 02119
UNITED"
222054756,LARCENY SHOPLIFTING,2009-07-21 20:20:00,HYDE PARK AVE
222054754,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2009-07-21 19:55:00,DECATUR ST & MEDFORD ST
222054753,ASSAULT - AGGRAVATED,2009-07-20 02:30:00,GIBSON ST
222054750,M/V ACCIDENT - PROPERTY DAMAGE,2009-07-21 19:42:00,LEDGE HILL RD
222054749,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2009-07-21 17:05:00,TREMONT ST
222054746,LICENSE PREMISE VIOLATION,2009-07-21 20:19:00,W BROADWAY
222053398,LARCENY THEFT FROM BUILDING,2009-07-17 11:30:00,GIBSON STREET
222054745,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,2009-07-21 19:58:00,"CHARLES ST & BEACON ST
BOSTON  MA 02116
UNITED STA"
222054744,M/V - LEAVING SCENE - PROPERTY DAMAGE,2009-07-21 19:53:00,GIBSON ST
222054743,INVESTIGATE PERSON,2009-07-21 19:44:00,SALCOMBE ST
222054738,FRAUD - FALSE PRETENSE / SCHEME,2009-07-18 09:00:00,FARRAR AVE
222054736,VAL - VIOLATION OF AUTO LAW,2009-07-21 19:14:00,ALBANY ST
222054735,BALLISTICS EVIDENCE/FOUND,2009-07-20 19:00:00,DICKENS ST
222054732,LIQUOR/ALCOHOL - DRINKING IN PUBLIC,2009-07-21 19:37:00,GLENDON ST
222054729,INVESTIGATE PERSON,2009-07-21 19:26:00,W BROADWAY
222054728,PROPERTY - FOUND,2009-07-21 18:00:00,HARRISON AVE
222054727,MISSING PERSON,2009-07-19 04:30:00,WASHINGTON ST
222054723,SICK ASSIST,2009-07-21 18:19:00,TREMONT ST
222054722,VAL - VIOLATION OF AUTO LAW,2009-07-21 17:53:00,"MYSTIC ST & WASHINGTON ST
BOSTON  MA 02118
UNITED"
222054721,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2009-07-21 18:42:00,"HARVARD ST & BLUE HILL AVE
DORCHESTER  MA 02124
UN"
222054719,PROPERTY - LOST/ MISSING,2009-07-21 00:00:00,WARREN ST
222054718,ASSAULT - SIMPLE,2009-07-21 18:10:00,PARIS ST
222054717,LARCENY THEFT FROM BUILDING,2009-07-20 22:30:00,S RUSSELL ST
222054714,EXTORTION OR BLACKMAIL,2009-07-21 14:00:00,HARRISON AVE
222054713,AUTO THEFT,2009-07-21 17:28:00,CHELSEA ST
222054710,"ANIMAL INCIDENTS (DOG BITES, LOST DOG, ETC)",2009-07-21 17:19:00,DUNSTABLE ST
222054709,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2009-07-21 00:00:00,HYDE PARK AVE
222054078,PROPERTY - LOST/ MISSING,2009-07-19 07:00:00,SUDBURY ST
222054708,M/V ACCIDENT - PROPERTY DAMAGE,2009-07-21 17:24:00,MENDELSSOHN ST
222054707,LARCENY ALL OTHERS,2009-07-20 22:00:00,GIBSON ST
222054706,SICK/INJURED/MEDICAL - PERSON,2009-07-21 16:50:00,CENTRAL WHARF
222054704,INVESTIGATE PERSON,2009-07-20 00:30:00,GIBSON ST
222054703,PROPERTY - LOST/ MISSING,2009-07-21 13:00:00,SUDBURY ST
222054702,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2009-07-21 07:30:00,CENTRE ST
222054701,PROPERTY - FOUND,2009-07-21 16:45:00,CENTRE ST
222054700,SICK ASSIST,2009-07-21 16:50:00,"ESSEX ST & WASHINGTON ST
BOSTON  MA 02116
UNITED S"
222054699,INVESTIGATE PERSON,2009-07-21 17:19:00,CHENEY ST
222054698,MISSING PERSON - NOT REPORTED - LOCATED,2009-07-01 15:30:00,GALLIVAN BLVD
222054697,INVESTIGATE PERSON,2009-07-21 16:44:00,BORDER ST
222054693,VERBAL DISPUTE,2009-07-21 16:57:00,TIBBETT'S TOWN WAY
222054692,INVESTIGATE PROPERTY,2009-07-21 17:12:00,MASSACHUSETTS AVE
222054691,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,2009-07-21 16:09:00,TREMONT ST
222054690,M/V PLATES - LOST,2009-07-21 12:00:00,WASHINGTON STREET
222054688,SICK ASSIST,2009-07-21 16:21:00,FESSENDEN ST
222054687,M/V - LEAVING SCENE - PROPERTY DAMAGE,2009-07-20 07:30:00,WASHINGTON ST
222054686,SICK ASSIST,2009-07-21 16:12:00,"SUMMER ST & JOHN F. FITZGERALD SURFACE RD
BOSTON  "
222054685,M/V - LEAVING SCENE - PROPERTY DAMAGE,2009-07-21 14:14:00,WASHINGTON ST
222054684,FIREARM/WEAPON - FOUND OR CONFISCATED,2009-07-21 16:25:00,GLENWAY ST
222054683,M/V - LEAVING SCENE - PROPERTY DAMAGE,2009-07-20 00:00:00,GIBSON ST
222054682,M/V - LEAVING SCENE - PROPERTY DAMAGE,2009-07-21 16:33:00,"COLUMBUS AVE & CLARENDON ST
BOSTON  MA 02116
UNITE"
222054679,M/V - LEAVING SCENE - PROPERTY DAMAGE,2009-07-11 08:15:00,MONTFERN AVE
222054678,INVESTIGATE PERSON,2009-07-21 16:08:00,RIVER ST
222054676,INVESTIGATE PERSON,2009-07-21 15:40:00,GIBSON ST
222054675,FRAUD - CREDIT CARD / ATM FRAUD,2009-07-21 16:35:00,HARRISON AVE
222054674,ASSAULT - SIMPLE,2009-07-21 14:12:00,HARRISON AVE
222054671,VERBAL DISPUTE,2009-07-21 15:56:00,HOWLAND ST
222054669,INVESTIGATE PROPERTY,2009-07-21 16:14:00,HARRISON AVE
222054667,THREATS TO DO BODILY HARM,2009-07-21 16:09:00,RIVER ST
222054666,INVESTIGATE PERSON,2009-07-21 15:30:00,WARREN ST
222054664,LARCENY THEFT OF BICYCLE,2009-07-17 17:00:00,HARRISON AVE
222054663,M/V - LEAVING SCENE - PROPERTY DAMAGE,2009-07-21 00:00:00,GIBSON ST
222054662,LARCENY ALL OTHERS,2009-07-21 15:53:00,HARRISON AVE
222054659,FRAUD - CREDIT CARD / ATM FRAUD,2009-07-16 17:00:00,PARIS ST
222054658,SICK ASSIST,2009-07-21 14:02:00,TALBOT AVE
222054657,LARCENY THEFT FROM BUILDING,2009-07-21 12:40:00,MASSACHUSETTS AVE
222054656,LARCENY ALL OTHERS,2009-07-20 16:40:00,GIBSON ST
222054655,ASSAULT - SIMPLE,2009-05-22 15:22:00,PIER 4 BLVD
222054654,VANDALISM,2009-07-21 15:19:00,HARRISON AVE
222054652,SICK ASSIST,2009-07-21 14:53:00,BENNINGTON ST
222054651,LARCENY SHOPLIFTING,2009-07-21 14:52:00,GENEVA AVE
222054650,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2009-07-21 14:49:00,"RIVER ST & HILLIS RD
HYDE PARK  MA 02136
UNITED ST"
222054649,FRAUD - FALSE PRETENSE / SCHEME,2009-07-21 15:06:00,WASHINGTON ST
222054648,INVESTIGATE PERSON,2009-07-21 13:02:00,NORTH POINT DR
222054646,INVESTIGATE PERSON,2009-05-07 06:00:00,COMMONWEALTH AVE
222054644,INVESTIGATE PERSON,2009-07-21 02:44:00,RONALD ST
222054643,VANDALISM,2009-07-19 13:30:00,SUDBURY ST
222054642,SICK ASSIST,2009-07-21 14:34:00,DAKOTA ST
222054639,INVESTIGATE PERSON,2009-07-21 13:34:00,W CONCORD ST
222054638,M/V - LEAVING SCENE - PROPERTY DAMAGE,2009-07-21 14:27:00,SUDBURY ST
222054564,INVESTIGATE PERSON,2009-07-21 07:30:00,WARREN AVE
222054637,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2009-07-21 13:57:00,"BLUE HILL AVE & WESTVIEW ST
DORCHESTER  MA 02124
U"
222054636,FRAUD - WIRE,2009-07-21 14:24:00,E COTTAGE ST
222054634,M/V ACCIDENT - PERSONAL INJURY,2009-07-21 09:00:00,"MAGAZINE STREET & GEORGE STREET
ROXBURY  MA 02119"
222054633,MISSING PERSON,2009-07-21 14:00:00,ATHELWOLD ST
222054632,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,2009-07-20 19:00:00,HARRISON AVE
222054631,BURGLARY - RESIDENTIAL,2009-07-21 12:28:00,MARGARETTA DR
222054630,M/V ACCIDENT - PERSONAL INJURY,2009-07-21 13:23:00,WASHINGTON ST
222054629,LANDLORD - TENANT,2009-07-20 06:25:00,HYDE PARK AVE
222054628,M/V ACCIDENT - POLICE VEHICLE,2009-07-21 13:45:00,CORNELL ST
222054627,INVESTIGATE PROPERTY,2009-07-21 08:00:00,WASHINGTON ST
222054626,MISSING PERSON - NOT REPORTED - LOCATED,2009-07-21 12:59:00,WORRELL ST
222054625,ASSAULT - AGGRAVATED,2009-07-21 13:20:00,WASHINGTON ST
222054624,LARCENY THEFT FROM MV - NON-ACCESSORY,2009-06-17 00:00:00,MAPLE CT
222054623,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,2009-07-21 13:23:00,HANCOCK ST
222054622,LARCENY THEFT FROM BUILDING,2009-07-13 00:00:00,THIRTEENTH STREET
222054620,SICK ASSIST,2009-07-21 12:31:00,TREMONT ST
222054619,M/V ACCIDENT - PERSONAL INJURY,2009-07-21 12:41:00,WASHINGTON ST
